foia_id,departments,keywords
Request ID,Unknown,
09-FOI-00001,Telephone Records - Katie Holahan,telephone
09-FOI-00002,Unknown,
09-FOI-00003,Unknown,
09-FOI-00004,Unknown,
09-FOI-00005,Unknown,
09-FOI-00006,"Contract Management - Michael Doonan,Procurement - Michelle Cherbavaz","bid,solicitation"
09-FOI-00007,Unknown,
09-FOI-00008,"Train Schedules - Ryan Buckland,Ridership Statistics, Station Ridership Data - Joshua Morrison,Telephone Records - Katie Holahan","delays,statistics,telephone"
09-FOI-00009,"Ridership Statistics, Station Ridership Data - Joshua Morrison,Telephone Records - Katie Holahan","statistics,telephone"
09-FOI-00010,"Ridership Statistics, Station Ridership Data - Joshua Morrison,Telephone Records - Katie Holahan","statistics,telephone"
09-FOI-00011,Unknown,
09-FOI-00012,Train Schedules - Ryan Buckland,delays
09-FOI-00013,Unknown,
09-FOI-00014,Unknown,
09-FOI-00015,Unknown,
09-FOI-00016,Unknown,
09-FOI-00017,Unknown,
09-FOI-00018,Unknown,
09-FOI-00019,Unknown,
09-FOI-00020,Unknown,
09-FOI-00021,"Ridership Statistics, Station Ridership Data - Joshua Morrison",statistics
09-FOI-00022,"Contract Management - Michael Doonan,Procurement - Michelle Cherbavaz","bid,solicitation"
09-FOI-00023,Unknown,
09-FOI-00024,Unknown,
09-FOI-00025,Unknown,
09-FOI-00026,Unknown,
09-FOI-00027,Unknown,
09-FOI-00028,Unknown,
09-FOI-00029,Unknown,
09-FOI-00030,Unknown,
09-FOI-00031,"Contract Management - Michael Doonan,Procurement - Michelle Cherbavaz","bid,solicitation"
09-FOI-00032,Unknown,
09-FOI-00033,Contract Management - Michael Doonan,contracts
09-FOI-00034,Contract Management - Michael Doonan,bid
09-FOI-00035,Unknown,
09-FOI-00036,Contract Management - Michael Doonan,bid
09-FOI-00037,Unknown,
09-FOI-00038,Unknown,
09-FOI-00039,Unknown,
09-FOI-00040,Unknown,
09-FOI-00041,Unknown,
09-FOI-00042,Unknown,
09-FOI-00043,Unknown,
09-FOI-00044,Unknown,
09-FOI-00045,Unknown,
09-FOI-00046,Unknown,
09-FOI-00047,"Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,Claims - Tom Montgomery","incident,claims"
09-FOI-00048,Unknown,
09-FOI-00049,Unknown,
09-FOI-00050,Unknown,
09-FOI-00051,Unknown,
09-FOI-00052,Contract Management - Michael Doonan,contract
09-FOI-00053,Unknown,
09-FOI-00054,Unknown,
09-FOI-00055,Unknown,
09-FOI-00056,Unknown,
09-FOI-00057,Unknown,
09-FOI-00058,"Email searches - Rana (for email searches, eDiscovery)",emails
09-FOI-00059,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
09-FOI-00060,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
09-FOI-00061,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
09-FOI-00062,Unknown,
09-FOI-00063,Unknown,
09-FOI-00064,Unknown,
09-FOI-00065,Unknown,
09-FOI-00066,Unknown,
09-FOI-00067,Contract Management - Michael Doonan,bid
09-FOI-00068,Unknown,
09-FOI-00069,Unknown,
09-FOI-00070,Unknown,
09-FOI-00071,Contract Management - Michael Doonan,bid
09-FOI-00072,Contract Management - Michael Doonan,contract
09-FOI-00073,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,accident
09-FOI-00074,Unknown,
09-FOI-00075,Telephone Records - Katie Holahan,telephone
09-FOI-00076,Contract Management - Michael Doonan,contractors
09-FOI-00077,Unknown,
09-FOI-00078,Train Schedules - Ryan Buckland,delay
09-FOI-00079,Contract Management - Michael Doonan,contracts
09-FOI-00080,Unknown,
09-FOI-00081,Unknown,
09-FOI-00082,Unknown,
09-FOI-00083,Unknown,
09-FOI-00084,Telephone Records - Katie Holahan,telephone
09-FOI-00085,Contract Management - Michael Doonan,bid
09-FOI-00086,Unknown,
09-FOI-00087,Unknown,
09-FOI-00088,Unknown,
09-FOI-00089,Unknown,
09-FOI-00090,Unknown,
09-FOI-00091,Unknown,
09-FOI-00092,Unknown,
09-FOI-00093,Unknown,
09-FOI-00094,Unknown,
09-FOI-00095,Unknown,
09-FOI-00096,Unknown,
09-FOI-00097,Unknown,
09-FOI-00098,Unknown,
09-FOI-00099,"Email searches - Rana (for email searches, eDiscovery)",emails
09-FOI-00100,Contract Management - Michael Doonan,bid
09-FOI-00101,Unknown,
09-FOI-00102,Unknown,
09-FOI-00103,Unknown,
09-FOI-00104,Unknown,
09-FOI-00105,"Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,Amtrak PD - Kevin J. Amberg and APD Reports (always send)","accident,police"
09-FOI-00106,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
09-FOI-00107,"Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,Amtrak PD - Kevin J. Amberg and APD Reports (always send)","incident,police"
09-FOI-00108,"Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,Amtrak PD - Kevin J. Amberg and APD Reports (always send)","accident,police"
09-FOI-00109,"Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,Amtrak PD - Kevin J. Amberg and APD Reports (always send),Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)","incident,use-of-force,surveillance"
09-FOI-00110,Unknown,
09-FOI-00111,"Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago),Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine","surveillance,accident"
09-FOI-00112,"Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago),Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine","surveillance,accident"
09-FOI-00113,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,accident
09-FOI-00114,Contract Management - Michael Doonan,contracts
09-FOI-00115,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,accident
09-FOI-00116,Unknown,
09-FOI-00117,"Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)",video
09-FOI-00118,"Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)","incident,video"
09-FOI-00119,Unknown,
09-FOI-00120,"Contract Management - Michael Doonan,Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)","contracts,surveillance"
09-FOI-00121,"Email searches - Rana (for email searches, eDiscovery)",emails
09-FOI-00122,Unknown,
09-FOI-00123,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
09-FOI-00124,Unknown,
09-FOI-00125,Unknown,
09-FOI-00126,Unknown,
09-FOI-00127,Unknown,
09-FOI-00128,Unknown,
09-FOI-00129,Unknown,
09-FOI-00130,Contract Management - Michael Doonan,contracts
09-FOI-00131,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,accident
09-FOI-00132,Unknown,
09-FOI-00133,"Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)",video
09-FOI-00134,Contract Management - Michael Doonan,bid
09-FOI-00135,Unknown,
09-FOI-00136,Unknown,
09-FOI-00137,Unknown,
09-FOI-00138,Unknown,
09-FOI-00139,Unknown,
09-FOI-00140,Unknown,
09-FOI-00141,"Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)",video
09-FOI-00142,Unknown,
09-FOI-00143,Unknown,
09-FOI-00144,Unknown,
09-FOI-00145,Unknown,
09-FOI-00146,Contract Management - Michael Doonan,contract
09-FOI-00147,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
09-FOI-00148,Unknown,
09-FOI-00149,Unknown,
09-FOI-00150,Unknown,
09-FOI-00151,Unknown,
09-FOI-00152,Unknown,
09-FOI-00153,Unknown,
09-FOI-00154,"Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)",video
09-FOI-00155,Contract Management - Michael Doonan,bid
10-FOI-00001,Unknown,
10-FOI-00002,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
10-FOI-00003,Unknown,
10-FOI-00004,Unknown,
10-FOI-00005,Unknown,
10-FOI-00006,Contract Management - Michael Doonan,contract
10-FOI-00007,Unknown,
10-FOI-00008,Unknown,
10-FOI-00009,Unknown,
10-FOI-00010,Contract Management - Michael Doonan,contract
10-FOI-00011,Unknown,
10-FOI-00012,Unknown,
10-FOI-00013,Unknown,
10-FOI-00014,Amtrak PD - Kevin J. Amberg and APD Reports (always send),police
10-FOI-00015,Unknown,
10-FOI-00016,Unknown,
10-FOI-00017,Unknown,
10-FOI-00018,Unknown,
10-FOI-00019,Unknown,
10-FOI-00020,Unknown,
10-FOI-00021,Contract Management - Michael Doonan,contract
10-FOI-00022,Unknown,
10-FOI-00023,Unknown,
10-FOI-00024,Unknown,
10-FOI-00025,Unknown,
10-FOI-00026,Unknown,
10-FOI-00027,Unknown,
10-FOI-00028,Unknown,
10-FOI-00029,Unknown,
10-FOI-00030,Unknown,
10-FOI-00031,Unknown,
10-FOI-00032,Unknown,
10-FOI-00033,Unknown,
10-FOI-00034,Unknown,
10-FOI-00035,Unknown,
10-FOI-00036,Contract Management - Michael Doonan,contract
10-FOI-00037,"Video (surveillance videos, APD/EMCS) - Shannon Merten (Chicago)",video
10-FOI-00038,Unknown,
10-FOI-00039,Unknown,
10-FOI-00040,Unknown,
10-FOI-00041,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,incident
10-FOI-00042,Contract Management - Michael Doonan,bid
10-FOI-00043,Contract Management - Michael Doonan,bid
10-FOI-00044,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,accident
10-FOI-00045,Unknown,
10-FOI-00046,Unknown,
10-FOI-00047,Contract Management - Michael Doonan,bid
10-FOI-00048,Unknown,
10-FOI-00049,Contract Management - Michael Doonan,contract
10-FOI-00050,Unknown,
10-FOI-00051,Unknown,
10-FOI-00052,Unknown,
10-FOI-00053,Unknown,
10-FOI-00054,Unknown,
10-FOI-00055,Unknown,
10-FOI-00056,Unknown,
10-FOI-00057,Unknown,
10-FOI-00058,Unknown,
10-FOI-00059,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,accident
10-FOI-00060,Amtrak PD - Kevin J. Amberg and APD Reports (always send),police
10-FOI-00061,Unknown,
10-FOI-00062,"Ridership Statistics, Station Ridership Data - Joshua Morrison",statistics
10-FOI-00063,Unknown,
10-FOI-00064,Unknown,
10-FOI-00065,Unknown,
10-FOI-00066,Unknown,
10-FOI-00067,Unknown,
10-FOI-00068,Unknown,
10-FOI-00069,Unknown,
10-FOI-00070,Unknown,
10-FOI-00071,Telephone Records - Katie Holahan,telephone
10-FOI-00072,Unknown,
10-FOI-00073,Unknown,
10-FOI-00074,Telephone Records - Katie Holahan,telephone
10-FOI-00075,Unknown,
10-FOI-00076,Contract Management - Michael Doonan,contracts
10-FOI-00077,Contract Management - Michael Doonan,bid
10-FOI-00078,"Email searches - Rana (for email searches, eDiscovery)",emails
10-FOI-00079,"Email searches - Rana (for email searches, eDiscovery)",emails
10-FOI-00080,Central Reporting (CentralReporting@amtrak.com) - Alan Burnstine,accident
